id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
250,juli,PERIJINAN PEMKAB BANDUNG,SKH,72,720000,tidak
251,juli,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
252,juli,WOM FINANCE,SKH,0,0,tidak
253,juli,ADIRA DINAMIKA FINANCE,SKH,1,15000,tidak
254,juli,BPKAD,SKH,31,286130,tidak
255,juli,BJB,SKH,0,0,potensial
256,juli,PD ANANG,LOGISTIK,12,2681303,tidak
257,juli,BPJS KIS PBI,SKH,2099,12594000,tidak
258,juli,BPJS KESEHATAN,SKH,626,4397000,potensial
259,juli,BLBI ABIYOSO,PPKH,1063,28928500,potensial
260,juli,BPKP JABAR,SKH,226,3115024,tidak
261,juli,RSUD CIBABAT,EXP CORPORATE,5,98500,tidak
262,juli,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
263,juli,BPJS KETENAGAKERJAAN,SKH,636,4774000,tidak
264,juli,KPP PRATAMA SOREANG,SKH,10960,58004500,potensial
265,juli,KPP PRATAMA CIMAHI,SKH,16227,115412503,potensial
266,juli,ULTRAJAYA MILK INDUSTRY,SKH,468,12438700,potensial
267,juli,BALAI DIKLAT KEUANGAN,EXP CORPORATE,1,15500,tidak
268,juli,SINAR CONTINENTAL,EXP CORPORATE,101,2419500,tidak
269,juli,FAMILY ONLINE SHOP,EXP CORPORATE,31,3537699,tidak
270,juli,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,325,415857500,potensial
271,juli,PERIJINAN PEMKAB BANDUNG,SKH,72,720000,tidak
272,juli,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
273,juli,WOM FINANCE,SKH,0,0,tidak
274,juli,ADIRA DINAMIKA FINANCE,SKH,1,15000,tidak
275,juli,BPKAD,SKH,31,286130,tidak
276,juli,BJB,SKH,0,0,tidak
277,juli,PD ANANG,LOGISTIK,12,2681303,tidak
278,juli,BPJS KIS PBI,SKH,2099,12594000,tidak
279,agustus,BPJS KESEHATAN,SKH,832,5161000,potensial
280,agustus,BLBI ABIYOSO,PPKH,480,7483500,potensial
281,agustus,BPKP JABAR,SKH,165,1697500,potensial
282,agustus,RSUD CIBABAT,EXP CORPORATE,14,140000,tidak
283,agustus,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
284,agustus,BPJS KETENAGAKERJAAN,SKH,496,3578500,tidak
285,agustus,KPP PRATAMA SOREANG,SKH,6400,32425000,potensial
286,agustus,KPP PRATAMA CIMAHI,SKH,12113,86348501,potensial
287,agustus,ULTRAJAYA MILK INDUSTRY,SKH,426,18580499,potensial
288,agustus,BALAI DIKLAT KEUANGAN,EXP CORPORATE,4,51000,tidak
289,agustus,SINAR CONTINENTAL,EXP CORPORATE,155,4581500,tidak
290,agustus,FAMILY ONLINE SHOP,EXP CORPORATE,12,1702997,tidak
291,agustus,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,370,470054000,potensial
292,agustus,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,263,351000,tidak
293,agustus,COD BUNDA JAYA,EXP CORPORATE,0,0,potensial
294,agustus,WOM FINANCE,SKH,78,490000,tidak
295,agustus,ADIRA DINAMIKA FINANCE,SKH,3,75000,tidak
296,agustus,BPKAD,SKH,0,0,tidak
297,agustus,BAPENDA,SKH,266,1729500,tidak
298,agustus,PD ANANG,LOGISTIK,22,369800,tidak
299,agustus,BPJS KIS PBI,SKH,2359,14154000,potensial
300,agustus,BPJS KESEHATAN,SKH,832,5161000,potensial
301,agustus,BLBI ABIYOSO,PPKH,480,7483500,potensial
302,agustus,BPKP JABAR,SKH,165,1697500,potensial
303,agustus,RSUD CIBABAT,EXP CORPORATE,14,140000,tidak
304,agustus,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
305,agustus,BPJS KETENAGAKERJAAN,SKH,496,3578500,potensial
306,agustus,KPP PRATAMA SOREANG,SKH,6400,32425000,potensial
307,agustus,KPP PRATAMA CIMAHI,SKH,12113,86348501,potensial
308,agustus,ULTRAJAYA MILK INDUSTRY,SKH,426,18580499,potensial
309,agustus,BALAI DIKLAT KEUANGAN,EXP CORPORATE,4,51000,tidak
